label,message
ham,Welcome to the team! Looking forward to working with you.
ham,The payment has been processed successfully.
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,Let me know if you need anything else.
ham,Please review the document and let me know.
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Can we reschedule our call to 16:00?
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Please review the document and let me know.
ham,Your order #4655 has been shipped.
ham,Can we reschedule our call to 9:00?
ham,The payment has been processed successfully.
ham,Let me know if you need anything else.
ham,The payment has been processed successfully.
ham,See you at 14:00 for lunch.
ham,The package has been delivered.
ham,See you at 17:00 for lunch.
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 2677 now.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Earn  per week from home! Details at http://spam-link.com
ham,The payment has been processed successfully.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Thanks for your help with the project.
ham,Your order #1269 has been shipped.
ham,Let me know if you need anything else.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM3338
ham,Let me know if you need anything else.
ham,I will send you the details by 17:00.
ham,Your order #8542 has been shipped.
ham,Let me know if you need anything else.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Meeting scheduled for 16:00 tomorrow. Please confirm.
spam,FREE entry to win  cash! Text WIN to 6545
ham,Just wanted to check in. Hope you are doing well.
ham,Reminder: appointment at 10:00 tomorrow.
ham,Reminder: appointment at 9:00 tomorrow.
ham,Can we reschedule our call to 11:00?
ham,Reminder: appointment at 10:00 tomorrow.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Meeting scheduled for 12:00 tomorrow. Please confirm.
ham,Can we reschedule our call to 13:00?
ham,I will send you the details by 11:00.
ham,The report is ready. Please find attached.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Meeting scheduled for 13:00 tomorrow. Please confirm.
ham,Happy birthday! Have a great day!
ham,Happy birthday! Have a great day!
spam,You have  unread messages. Check at http://spam-link.com
ham,Happy birthday! Have a great day!
ham,Let me know if you need anything else.
spam,FREE entry to win  cash! Text WIN to 1939
ham,Welcome to the team! Looking forward to working with you.
ham,The payment has been processed successfully.
ham,I will send you the details by 17:00.
ham,Reminder: appointment at 17:00 tomorrow.
ham,The meeting went well. Next steps are...
ham,Can we reschedule our call to 14:00?
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Can we reschedule our call to 9:00?
ham,Meeting scheduled for 13:00 tomorrow. Please confirm.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Can we reschedule our call to 14:00?
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,The meeting went well. Next steps are...
spam,Earn  per week from home! Details at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,The meeting went well. Next steps are...
spam,Earn  per week from home! Details at http://spam-link.com
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
ham,I will send you the details by 13:00.
spam,Free gift card worth ! Claim at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 1159
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,"Hey, how are you? Let me know when you can meet."
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,"Hey, how are you? Let me know when you can meet."
ham,The payment has been processed successfully.
ham,Can we reschedule our call to 14:00?
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 7422
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Happy birthday! Have a great day!
ham,The meeting went well. Next steps are...
ham,Your order #9003 has been shipped.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM2279
ham,Just wanted to check in. Hope you are doing well.
ham,Quick question: are you free at 11:00?
spam,FREE entry to win  cash! Text WIN to 1790
ham,Welcome to the team! Looking forward to working with you.
ham,The payment has been processed successfully.
ham,The package has been delivered.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,The package has been delivered.
ham,Reminder: appointment at 13:00 tomorrow.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM4884
ham,Reminder: appointment at 17:00 tomorrow.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM5232
ham,Thanks for the feedback. I will incorporate it.
ham,Your order #5715 has been shipped.
spam,You have  unread messages. Check at http://spam-link.com
ham,The meeting went well. Next steps are...
spam,WINNER! You have won a free vacation worth . Call 6433 now.
spam,Earn  per week from home! Details at http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Thanks for the feedback. I will incorporate it.
ham,The package has been delivered.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Quick question: are you free at 10:00?
ham,See you at 9:00 for lunch.
ham,See you at 15:00 for lunch.
spam,Free gift card worth ! Claim at http://spam-link.com
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,"Hey, how are you? Let me know when you can meet."
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,The report is ready. Please find attached.
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
ham,Reminder: appointment at 9:00 tomorrow.
ham,See you at 13:00 for lunch.
ham,Happy birthday! Have a great day!
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,The payment has been processed successfully.
ham,I will send you the details by 17:00.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Please review the document and let me know.
ham,Welcome to the team! Looking forward to working with you.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Please review the document and let me know.
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,I will send you the details by 10:00.
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Let me know if you need anything else.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Your order #4098 has been shipped.
spam,Earn  per week from home! Details at http://spam-link.com
ham,Meeting scheduled for 9:00 tomorrow. Please confirm.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Thanks for your help with the project.
ham,Meeting scheduled for 12:00 tomorrow. Please confirm.
ham,Welcome to the team! Looking forward to working with you.
spam,Free gift card worth ! Claim at http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Happy birthday! Have a great day!
ham,See you at 13:00 for lunch.
ham,Thanks for your help with the project.
ham,The meeting went well. Next steps are...
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,The meeting went well. Next steps are...
spam,Free gift card worth ! Claim at http://spam-link.com
ham,The meeting went well. Next steps are...
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,Quick question: are you free at 13:00?
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,The meeting went well. Next steps are...
ham,Can we reschedule our call to 10:00?
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 204
ham,Happy birthday! Have a great day!
ham,Thanks for your help with the project.
ham,See you at 15:00 for lunch.
ham,Thanks for the feedback. I will incorporate it.
ham,The package has been delivered.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM8207
spam,WINNER! You have won a free vacation worth . Call 4392 now.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Meeting scheduled for 11:00 tomorrow. Please confirm.
ham,Let me know if you need anything else.
ham,Thanks for the feedback. I will incorporate it.
ham,Please review the document and let me know.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Thanks for your help with the project.
ham,Please review the document and let me know.
ham,Thanks for the feedback. I will incorporate it.
ham,Please review the document and let me know.
ham,See you at 11:00 for lunch.
ham,The report is ready. Please find attached.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Please review the document and let me know.
ham,Quick question: are you free at 17:00?
ham,Quick question: are you free at 10:00?
ham,The payment has been processed successfully.
ham,Quick question: are you free at 15:00?
ham,Thanks for the feedback. I will incorporate it.
ham,Reminder: appointment at 15:00 tomorrow.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Please review the document and let me know.
ham,Just wanted to check in. Hope you are doing well.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Your order #6746 has been shipped.
ham,Quick question: are you free at 13:00?
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,I will send you the details by 9:00.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Quick question: are you free at 10:00?
ham,Can we reschedule our call to 9:00?
ham,Your order #2464 has been shipped.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Reminder: appointment at 12:00 tomorrow.
spam,FREE entry to win  cash! Text WIN to 8250
ham,Thanks for the update. I will review it tomorrow.
ham,Welcome to the team! Looking forward to working with you.
ham,Reminder: appointment at 10:00 tomorrow.
ham,Quick question: are you free at 11:00?
ham,The package has been delivered.
ham,Thanks for your help with the project.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Can we reschedule our call to 11:00?
ham,Thanks for the update. I will review it tomorrow.
ham,Thanks for the feedback. I will incorporate it.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Thanks for your help with the project.
ham,"Hey, how are you? Let me know when you can meet."
ham,Let me know if you need anything else.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,See you at 9:00 for lunch.
ham,Can we reschedule our call to 14:00?
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Reminder: appointment at 16:00 tomorrow.
ham,Can we reschedule our call to 14:00?
ham,Just wanted to check in. Hope you are doing well.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,See you at 12:00 for lunch.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,I will send you the details by 17:00.
ham,Can we reschedule our call to 11:00?
ham,Quick question: are you free at 13:00?
ham,Thanks for your help with the project.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM3504
ham,Can we reschedule our call to 15:00?
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,The package has been delivered.
ham,Thanks for the update. I will review it tomorrow.
ham,Please review the document and let me know.
ham,Your order #6190 has been shipped.
spam,You have  unread messages. Check at http://spam-link.com
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Meeting scheduled for 16:00 tomorrow. Please confirm.
spam,WINNER! You have won a free vacation worth . Call 1857 now.
ham,"Hey, how are you? Let me know when you can meet."
ham,Meeting scheduled for 12:00 tomorrow. Please confirm.
ham,Thanks for your help with the project.
ham,The package has been delivered.
ham,The meeting went well. Next steps are...
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,The report is ready. Please find attached.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM5381
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Your order #9112 has been shipped.
ham,The meeting went well. Next steps are...
spam,WINNER! You have won a free vacation worth . Call 4057 now.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,The report is ready. Please find attached.
ham,See you at 13:00 for lunch.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,The package has been delivered.
ham,Thanks for your help with the project.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,See you at 13:00 for lunch.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Reminder: appointment at 10:00 tomorrow.
ham,I will send you the details by 17:00.
ham,Meeting scheduled for 12:00 tomorrow. Please confirm.
ham,Quick question: are you free at 10:00?
ham,The package has been delivered.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,I will send you the details by 12:00.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,Please review the document and let me know.
ham,Thanks for your help with the project.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Thanks for the feedback. I will incorporate it.
ham,See you at 10:00 for lunch.
ham,"Hey, how are you? Let me know when you can meet."
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,The meeting went well. Next steps are...
ham,Let me know if you need anything else.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,Your order #2342 has been shipped.
ham,Thanks for the feedback. I will incorporate it.
ham,See you at 16:00 for lunch.
ham,The package has been delivered.
spam,WINNER! You have won a free vacation worth . Call 5367 now.
ham,Please review the document and let me know.
ham,"Hey, how are you? Let me know when you can meet."
ham,Thanks for the feedback. I will incorporate it.
ham,Welcome to the team! Looking forward to working with you.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,Reminder: appointment at 15:00 tomorrow.
ham,Please review the document and let me know.
ham,Welcome to the team! Looking forward to working with you.
ham,Thanks for the feedback. I will incorporate it.
ham,Thanks for the update. I will review it tomorrow.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,I will send you the details by 14:00.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Happy birthday! Have a great day!
ham,Thanks for the update. I will review it tomorrow.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Please review the document and let me know.
ham,The meeting went well. Next steps are...
ham,Thanks for your help with the project.
ham,Welcome to the team! Looking forward to working with you.
ham,Let me know if you need anything else.
ham,Your order #4387 has been shipped.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Quick question: are you free at 13:00?
ham,Your order #6147 has been shipped.
ham,Thanks for your help with the project.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Your order #4877 has been shipped.
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,The meeting went well. Next steps are...
ham,The meeting went well. Next steps are...
ham,Let me know if you need anything else.
ham,Thanks for the feedback. I will incorporate it.
ham,Please review the document and let me know.
ham,I will send you the details by 9:00.
spam,WINNER! You have won a free vacation worth . Call 7128 now.
ham,Just wanted to check in. Hope you are doing well.
ham,The package has been delivered.
spam,Earn  per week from home! Details at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Happy birthday! Have a great day!
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Your order #2841 has been shipped.
ham,Just wanted to check in. Hope you are doing well.
ham,Let me know if you need anything else.
ham,The meeting went well. Next steps are...
ham,Thanks for the update. I will review it tomorrow.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Your order #923 has been shipped.
ham,Please review the document and let me know.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Meeting scheduled for 17:00 tomorrow. Please confirm.
ham,Can we reschedule our call to 12:00?
ham,Welcome to the team! Looking forward to working with you.
ham,Thanks for the update. I will review it tomorrow.
ham,The payment has been processed successfully.
ham,"Hey, how are you? Let me know when you can meet."
spam,FREE entry to win  cash! Text WIN to 2111
ham,Quick question: are you free at 11:00?
ham,Your order #706 has been shipped.
ham,Thanks for your help with the project.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 1476
ham,Can we reschedule our call to 16:00?
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Thanks for your help with the project.
ham,See you at 12:00 for lunch.
ham,Just wanted to check in. Hope you are doing well.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,I will send you the details by 17:00.
ham,Can we reschedule our call to 14:00?
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Your order #6561 has been shipped.
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Please review the document and let me know.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Your order #698 has been shipped.
ham,Reminder: appointment at 16:00 tomorrow.
ham,Reminder: appointment at 13:00 tomorrow.
ham,Thanks for your help with the project.
ham,The report is ready. Please find attached.
ham,Please review the document and let me know.
ham,"Hey, how are you? Let me know when you can meet."
ham,Can we reschedule our call to 15:00?
ham,The payment has been processed successfully.
ham,The payment has been processed successfully.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 1012 now.
ham,Let me know if you need anything else.
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,I will send you the details by 12:00.
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Your order #1352 has been shipped.
ham,The package has been delivered.
ham,Meeting scheduled for 12:00 tomorrow. Please confirm.
ham,See you at 15:00 for lunch.
ham,The package has been delivered.
ham,Quick question: are you free at 16:00?
ham,Welcome to the team! Looking forward to working with you.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The payment has been processed successfully.
ham,I will send you the details by 17:00.
ham,Quick question: are you free at 16:00?
spam,Exclusive: % off everything today only. Shop http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 9218
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The payment has been processed successfully.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,The meeting went well. Next steps are...
ham,Please review the document and let me know.
ham,Happy birthday! Have a great day!
ham,I will send you the details by 14:00.
ham,Thanks for your help with the project.
ham,I will send you the details by 14:00.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Thanks for your help with the project.
ham,I will send you the details by 14:00.
ham,Reminder: appointment at 14:00 tomorrow.
ham,The package has been delivered.
ham,Can we reschedule our call to 14:00?
ham,Reminder: appointment at 15:00 tomorrow.
ham,"Hey, how are you? Let me know when you can meet."
ham,"Hey, how are you? Let me know when you can meet."
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Earn  per week from home! Details at http://spam-link.com
ham,Reminder: appointment at 11:00 tomorrow.
ham,Just wanted to check in. Hope you are doing well.
ham,The meeting went well. Next steps are...
ham,"Hey, how are you? Let me know when you can meet."
spam,FREE entry to win  cash! Text WIN to 1611
spam,Exclusive: % off everything today only. Shop http://spam-link.com
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM7245
spam,Earn  per week from home! Details at http://spam-link.com
ham,Reminder: appointment at 10:00 tomorrow.
ham,The payment has been processed successfully.
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Can we reschedule our call to 17:00?
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,The report is ready. Please find attached.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Reminder: appointment at 9:00 tomorrow.
spam,WINNER! You have won a free vacation worth . Call 2837 now.
ham,The meeting went well. Next steps are...
ham,Your order #9405 has been shipped.
ham,The package has been delivered.
spam,You have  unread messages. Check at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Earn  per week from home! Details at http://spam-link.com
ham,Happy birthday! Have a great day!
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Reminder: appointment at 11:00 tomorrow.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Your order #6159 has been shipped.
ham,Thanks for the feedback. I will incorporate it.
ham,See you at 16:00 for lunch.
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM3512
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
spam,Free gift card worth ! Claim at http://spam-link.com
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM707
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Your order #6454 has been shipped.
ham,Meeting scheduled for 9:00 tomorrow. Please confirm.
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,Reminder: appointment at 14:00 tomorrow.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,The payment has been processed successfully.
ham,Happy birthday! Have a great day!
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Thanks for your help with the project.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Earn  per week from home! Details at http://spam-link.com
ham,Let me know if you need anything else.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Meeting scheduled for 10:00 tomorrow. Please confirm.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,The report is ready. Please find attached.
spam,Earn  per week from home! Details at http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,The payment has been processed successfully.
ham,I will send you the details by 16:00.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Reminder: appointment at 16:00 tomorrow.
ham,Welcome to the team! Looking forward to working with you.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,Happy birthday! Have a great day!
spam,Earn  per week from home! Details at http://spam-link.com
ham,Quick question: are you free at 9:00?
ham,Quick question: are you free at 11:00?
ham,Welcome to the team! Looking forward to working with you.
ham,I will send you the details by 11:00.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,See you at 13:00 for lunch.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Thanks for the feedback. I will incorporate it.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,I will send you the details by 15:00.
ham,Just wanted to check in. Hope you are doing well.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,I will send you the details by 16:00.
ham,See you at 11:00 for lunch.
ham,Quick question: are you free at 17:00?
ham,Can we reschedule our call to 14:00?
ham,Please review the document and let me know.
ham,Quick question: are you free at 14:00?
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Let me know if you need anything else.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
